site_id,bike_lane_width_m,bike_lane_source,has_cycleway
300026086,3.0,tier4:wegenregister_with_cycleway,True
300026087,3.0,tier4:wegenregister_with_cycleway,True
300026090,3.0,tier4:wegenregister_with_cycleway,True
300026104,7.0,tier4:wegenregister_with_cycleway,True
300026105,7.0,tier4:wegenregister_with_cycleway,True
300026110,6.0,tier4:wegenregister_with_cycleway,True
300026111,6.0,tier4:wegenregister_with_cycleway,True
300026136,2.0,tier1:explicit_cycleway_width,True
300026137,2.0,tier1:explicit_cycleway_width,True
300026274,3.5,tier3:shared_road_width_with_cycleway,True
300026275,3.5,tier3:shared_road_width_with_cycleway,True
300026302,6.0,tier4:wegenregister_with_cycleway,True
300026303,6.0,tier4:wegenregister_with_cycleway,True
300026348,6.0,tier4:wegenregister_with_cycleway,True
300026349,6.0,tier4:wegenregister_with_cycleway,True
300026758,3.0,tier2:dedicated_path_width,True
300026820,3.0,tier2:dedicated_path_width,True
300026861,3.0,tier2:dedicated_path_width,True
300026986,5.0,tier4:wegenregister_with_cycleway,True
300027064,3.5,tier1:explicit_cycleway_width,True
300027129,6.0,tier4:wegenregister_with_cycleway,True
300027489,7.0,tier4:wegenregister_with_cycleway,True
300027499,,missing:has_cycleway_no_width,True
300027871,1.0,tier2:dedicated_path_width,True
300027878,6.0,tier4:wegenregister_with_cycleway,True
300027879,6.0,tier4:wegenregister_with_cycleway,True
300027898,8.0,tier4:wegenregister_with_cycleway,True
300027900,8.0,tier4:wegenregister_with_cycleway,True
300027919,2.0,tier2:dedicated_path_width,True
300027923,2.0,tier2:dedicated_path_width,True
300027931,3.0,tier4:wegenregister_with_cycleway,True
300027960,6.0,tier4:wegenregister_with_cycleway,True
300027967,,missing:has_cycleway_no_width,True
300028325,0.8,tier3:shared_road_width_with_cycleway,True
300028358,7.0,tier4:wegenregister_with_cycleway,True
300028385,4.0,tier4:wegenregister_with_cycleway,True
300028477,6.0,tier4:wegenregister_with_cycleway,True
300028478,6.0,tier4:wegenregister_with_cycleway,True
300036858,7.0,tier4:wegenregister_with_cycleway,True
300030111,6.0,tier4:wegenregister_with_cycleway,True
300030471,6.0,tier4:wegenregister_with_cycleway,True
300030472,6.0,tier4:wegenregister_with_cycleway,True
300030476,6.0,tier4:wegenregister_with_cycleway,True
300030477,6.0,tier4:wegenregister_with_cycleway,True
300030728,8.0,tier4:wegenregister_with_cycleway,True
300031561,2.0,tier2:dedicated_path_width,True
300031574,2.0,tier2:dedicated_path_width,True
300031607,6.0,tier4:wegenregister_with_cycleway,True
300031927,,missing:has_cycleway_no_width,True
300036881,6.0,tier4:wegenregister_with_cycleway,True
100038932,2.0,tier2:dedicated_path_width,True
300038692,2.0,tier1:explicit_cycleway_width,True
300052743,1.0,tier2:dedicated_path_width,True
300052800,1.0,tier2:dedicated_path_width,True
300059948,4.0,tier2:dedicated_path_width,True
300060140,1.0,tier2:dedicated_path_width,True
300060264,4.0,tier1:explicit_cycleway_width,True
300061690,1.0,tier2:dedicated_path_width,True
300061739,1.5,tier1:explicit_cycleway_width,True
300062103,,missing:has_cycleway_no_width,True
